periodo mensual,Trabajadores asegurados en el imss
2010/01,14076279
2010/02,14204647
2010/03,14341056
2010/04,14408942
2010/05,14433952
2010/06,14480255
2010/07,14518395
2010/08,14593979
2010/09,14701487
2010/10,14829981
2010/11,14965625
2010/12,14738783
2011/01,14787440
2011/02,14893818
2011/03,15003502
2011/04,15022588
2011/05,15050810
2011/06,15090360
2011/07,15131332
2011/08,15202180
2011/09,15315651
2011/10,15445527
2011/11,15550167
2011/12,15350335
2012/01,15427859
2012/02,15563594
2012/03,15695679
2012/04,15706159
2012/05,15731556
2012/06,15806830
2012/07,15849227
2012/08,15920256
2012/09,16033095
2012/10,16182408
2012/11,16294936
2012/12,16062043
2013/01,16106212
2013/02,16227085
2013/03,16281079
2013/04,16347973
2013/05,16354902
2013/06,16357421
2013/07,16362732
2013/08,16414905
2013/09,16508845
2013/10,16652436
2013/11,16772971
2013/12,16525061
2014/01,16547040
2014/02,16672599
2014/03,16781325
2014/04,16837367
2014/05,16885220
2014/06,16928515
2014/07,16965972
2014/08,17023661
2014/09,17180093
2014/10,17352227
2014/11,17475077
2014/12,17239587
2015/01,17299371
2015/02,17433062
2015/03,17538198
2015/04,17603315
2015/05,17595860
2015/06,17674295
2015/07,17718986
2015/08,17791345
2015/09,17908989
2015/10,18055468
2015/11,18187747
2015/12,17884033
2016/01,17953203
2016/02,18095494
2016/03,18154906
2016/04,18237468
2016/05,18257802
2016/06,18326071
2016/07,18348131
2016/08,18466227
2016/09,18626402
2016/10,18797954
2016/11,18935841
2016/12,18616624
2017/01,18699916
2017/02,18853971
2017/03,18994318
2017/04,19021083
2017/05,19047825
2017/06,19134058
2017/07,19172222
2017/08,19292865
2017/09,19428916
2017/10,19623674
2017/11,19755991
2017/12,19418455
2018/01,19532177
2018/02,19696488
2018/03,19786997
2018/04,19874106
2018/05,19908072
2018/06,19894575
2018/07,19949244
2018/08,20063433
2018/09,20192960
2018/10,20356179
2018/11,20457926
2018/12,20079365
2019/01,20174011
2019/02,20299993
2019/03,20348508
2019/04,20378927
2019/05,20382910
2019/06,20368666
2019/07,20385379
2019/08,20422010
2019/09,20567426
2019/10,20727424
2019/11,20803652
2019/12,20421442
2020/01,20490397
2020/02,20613536
2020/03,20482943
2020/04,19927696
2020/05,19583170
2020/06,19499859
2020/07,19495952
2020/08,19588342
2020/09,19702192
2020/10,19902833
2020/11,20051552
2020/12,19773732
2021/01,19821651
2021/02,19936938
2021/03,20025709
2021/04,20070483
2021/05,20109444
2021/06,20175380
2021/07,20291923
2021/08,20420823
2021/09,20594919
2021/10,20767587
2021/11,20933050
2021/12,20620148
2022/01,20762419
,
,
,
